name,short_name,doi,url,date,project,theme,teams,image_url,downloads
PASTIS-R - Panoptic Segmentation of Radar and Optical Satellite image TIme Series,PASTIS-R,10.5281/zenodo.5735645,https://zenodo.org/records/5735646,2021,,Agriculture,STRUDEL,https://github.com/VSainteuf/pastis-benchmark/blob/main/images/pastisr.png?raw=true,31012
"Georeferencing the ""Atlas du plan général de la ville de Paris par Edme Verniquet""",Georeferencing Verniquet,10.7910/DVN/ZKRJFA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZKRJFA,2023,SoDUCo,DigitalHumanities,STRUDEL,https://dataverse.harvard.edu/api/datasets/7002454/logo,13719
"A GIS reconstruction of the Cassini ""Carte de France"" sheet No. 52","Cassini ""Carte de France"" sheet No. 52",10.7910/DVN/XP8J6P,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XP8J6P,2019,SoDUCo,DigitalHumanities,STRUDEL,https://dataverse.harvard.edu/api/datasets/3454652/logo,6575
PASTIS - Panoptic Segmentation of Satellite image TIme Series,PASTIS,10.5281/zenodo.5012941,https://zenodo.org/records/5012942,2021,,Agriculture,STRUDEL,https://github.com/Vsainteuf/pastis-benchmark/blob/main/images/predictions.png?raw=true,23598
The 18th century Cassini roads and cities dataset,Cassini roads and cities dataset,10.7910/DVN/28674,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28674,2015,SoDUCo,DigitalHumanities,STRUDEL,https://media.springernature.com/full/springer-static/image/art%3A10.1038%2Fsdata.2015.48/MediaObjects/41597_2015_Article_BFsdata201548_Fig2_HTML.jpg,2929
L'Alpe d'Huez: a dataset to benchmark topographic map generalisation,L'Alpe d'Huez,10.5281/zenodo.5749324,https://zenodo.org/records/5749324,2021,LostInZoom,Tourism,MEIG,,4149
PASTIS-R PixelSet - Radar and Optical Satellite Image Time Series in Pixel-Set format,PASTIS-R PixelSet,10.5281/zenodo.5745150,https://zenodo.org/records/5745151,2021,,Agriculture,STRUDEL,https://github.com/VSainteuf/pastis-benchmark/blob/main/images/pastisr.png?raw=true,4221
Parcel Manager Data set,Parcel Manager Data set,10.17632/zscjbdvr9v,https://data.mendeley.com/datasets/zscjbdvr9v,2022,ParcelManager,Planning,STRUDEL,https://framagit.org/artiscales/parcelmanager/-/raw/master/misc/schema.png,495
"""Verniquet map"" and ""Jacoubet Atlas"" Paris street networks",Verniquet & Jacoubet Paris street networks,10.7910/DVN/CCESX4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CCESX4,2019,SoDUCo,DigitalHumanities,STRUDEL,,371
ICDAR 2021 Competition on Historical Map Segmentation — Dataset,ICDAR 2021 Competition Dataset,10.5281/zenodo.4817662,https://zenodo.org/records/4817662,2021,SoDUCo,DigitalHumanities,STRUDEL,,360
