id,title,halId,authIdHalFullName,docType,producedDate,fileMain,files,citationRef,label_bibtex,proceedings,popularLevel,invitedCommunication,peerReviewing,researchData,audience,doiId,softCodeRepository,arxivId,anrProjectTitle,europeanProjectTitle,publicationDate,teams,authors,keywords,keywords_lastig
0,Automated mapping between SDG indicators and open data: An LLM-augmented knowledge graph approach,hal-04866754,"[{""fullName"":""Wissal Benjira"",""idHal"":""""},{""fullName"":""Faten Atigui"",""idHal"":""faten-atigui""},{""fullName"":""Bénédicte Bucher"",""idHal"":""benedicte-bucher""},{""fullName"":""Malika Grim-Yefsah"",""idHal"":""malika-grim""},{""fullName"":""Nicolas Travers"",""idHal"":""nicolas-travers""}]",ART,2025,,,"<i>Data and Knowledge Engineering</i>, 2025, pp.102405. <a target=""_blank"" href=""https://dx.doi.org/10.1016/j.datak.2024.102405"">&#x27E8;10.1016/j.datak.2024.102405&#x27E9;</a>",QGFydGljbGV7YmVuamlyYTpoYWwtMDQ4NjY3NTQsCiAgVElUTEUgPSB7e0F1dG9tYXRlZCBtYXBwaW5nIGJldHdlZW4gU0RHIGluZGljYXRvcnMgYW5kIG9wZW4gZGF0YTogQW4gTExNLWF1Z21lbnRlZCBrbm93bGVkZ2UgZ3JhcGggYXBwcm9hY2h9fSwKICBBVVRIT1IgPSB7QmVuamlyYSwgV2lzc2FsIGFuZCBBdGlndWksIEZhdGVuIGFuZCBCdWNoZXIsIEJ7XCdlfW57XCdlfWRpY3RlIGFuZCBHcmltLVllZnNhaCwgTWFsaWthIGFuZCBUcmF2ZXJzLCBOaWNvbGFzfSwKICBVUkwgPSB7aHR0cHM6Ly9oYWwuc2NpZW5jZS9oYWwtMDQ4NjY3NTR9LAogIEpPVVJOQUwgPSB7e0RhdGEgYW5kIEtub3dsZWRnZSBFbmdpbmVlcmluZ319LAogIFBVQkxJU0hFUiA9IHt7RWxzZXZpZXJ9fSwKICBQQUdFUyA9IHsxMDI0MDV9LAogIFlFQVIgPSB7MjAyNX0sCiAgTU9OVEggPSBKYW4sCiAgRE9JID0gezEwLjEwMTYvai5kYXRhay4yMDI0LjEwMjQwNX0sCiAgS0VZV09SRFMgPSB7U3VzdGFpbmFibGUgRGV2ZWxvcG1lbnQgR29hbHMgKFNERykgOyBMYXJnZSBsYW5ndWFnZSBtb2RlbCAoTExNKSA7IEtub3dsZWRnZSBncmFwaCAoS0cpIDsgT3BlbiBkYXRhIDsgU2NoZW1hIG1hcHBpbmd9LAogIEhBTF9JRCA9IHtoYWwtMDQ4NjY3NTR9LAogIEhBTF9WRVJTSU9OID0ge3YxfSwKfQo=,,0,,1,,2,10.1016/j.datak.2024.102405,,,,,2025-01,MEIG,"9,22,59","Sustainable Development Goals SDG,Large language model LLM,Knowledge graph KG,Open data,Schema mapping","sustainable development goals sdg,large language model llm,knowledge graph kg,open science,schema mapping"
1,Optimization of Rank Losses for Image Retrieval,hal-04975847,"[{""fullName"":""Elias Ramzi"",""idHal"":""elias-ramzi""},{""fullName"":""Nicolas Audebert"",""idHal"":""nicolas-audebert""},{""fullName"":""Clément Rambour"",""idHal"":""clement-rambour""},{""fullName"":""André Araujo"",""idHal"":""""},{""fullName"":""Xavier Bitot"",""idHal"":""""},{""fullName"":""Nicolas Thome"",""idHal"":""nicolas-thome""}]",ART,2025,https://hal.science/hal-04975847/document,https://hal.science/hal-04975847/file/TPAMI_ROADMAP_HAPPIER.pdf,"<i>IEEE Transactions on Pattern Analysis and Machine Intelligence</i>, 2025, pp.1-12. <a target=""_blank"" href=""https://dx.doi.org/10.1109/TPAMI.2025.3543846"">&#x27E8;10.1109/TPAMI.2025.3543846&#x27E9;</a>",QGFydGljbGV7cmFtemk6aGFsLTA0OTc1ODQ3LAogIFRJVExFID0ge3tPcHRpbWl6YXRpb24gb2YgUmFuayBMb3NzZXMgZm9yIEltYWdlIFJldHJpZXZhbH19LAogIEFVVEhPUiA9IHtSYW16aSwgRWxpYXMgYW5kIEF1ZGViZXJ0LCBOaWNvbGFzIGFuZCBSYW1ib3VyLCBDbHtcJ2V9bWVudCBhbmQgQXJhdWpvLCBBbmRye1wnZX0gYW5kIEJpdG90LCBYYXZpZXIgYW5kIFRob21lLCBOaWNvbGFzfSwKICBVUkwgPSB7aHR0cHM6Ly9oYWwuc2NpZW5jZS9oYWwtMDQ5NzU4NDd9LAogIEpPVVJOQUwgPSB7e0lFRUUgVHJhbnNhY3Rpb25zIG9uIFBhdHRlcm4gQW5hbHlzaXMgYW5kIE1hY2hpbmUgSW50ZWxsaWdlbmNlfX0sCiAgUFVCTElTSEVSID0ge3tJbnN0aXR1dGUgb2YgRWxlY3RyaWNhbCBhbmQgRWxlY3Ryb25pY3MgRW5naW5lZXJzfX0sCiAgUEFHRVMgPSB7MS0xMn0sCiAgWUVBUiA9IHsyMDI1fSwKICBET0kgPSB7MTAuMTEwOS9UUEFNSS4yMDI1LjM1NDM4NDZ9LAogIEtFWVdPUkRTID0ge0ltYWdlIFJldHJpZXZhbCA7IFJhbmtpbmcgOyBBdmVyYWdlIFByZWNpc2lvbiA7IEhpZXJhcmNoaWNhbCBSYW5raW5nIDsgSGllcmFyY2hpY2FsIEF2ZXJhZ2UgUHJlY2lzaW9uIDsgTm9uLURlY29tcG9zYWJsZX0sCiAgUERGID0ge2h0dHBzOi8vaGFsLnNjaWVuY2UvaGFsLTA0OTc1ODQ3djEvZmlsZS9UUEFNSV9ST0FETUFQX0hBUFBJRVIucGRmfSwKICBIQUxfSUQgPSB7aGFsLTA0OTc1ODQ3fSwKICBIQUxfVkVSU0lPTiA9IHt2MX0sCn0K,,0,,1,,2,10.1109/TPAMI.2025.3543846,,2309.08250,,,2025,STRUDEL,4,"Image Retrieval,Ranking,Average Precision,Hierarchical Ranking,Hierarchical Average Precision,Non-Decomposable","image,ranking,average precision,hierarchical ranking,hierarchical average precision,non-decomposable"
2,Fused-Planes: Improving Planar Representations for Learning Large Sets of 3D Scenes,hal-04761470,"[{""fullName"":""Karim Kassab"",""idHal"":""""},{""fullName"":""Antoine Schnepf"",""idHal"":""antoine-schnepf""},{""fullName"":""Jean-Yves Franceschi"",""idHal"":""jean-yves-franceschi""},{""fullName"":""Laurent Caraffa"",""idHal"":""laurent-caraffa""},{""fullName"":""Flavian Vasile"",""idHal"":""""},{""fullName"":""Jeremie Mary"",""idHal"":""jeremie-mary""},{""fullName"":""Andrew I. Comport"",""idHal"":""andrew-comport""},{""fullName"":""Valérie Gouet-Brunet"",""idHal"":""valerie-gouet-brunet""}]",UNDEFINED,2025,https://hal.science/hal-04761470/document,https://hal.science/hal-04761470/file/Fused_Planes___Improving_Planar_Representations_for_Learning_Large_Sets_of_3D_Scenes__arxiv_.pdf,2025,QHVucHVibGlzaGVke2thc3NhYjpoYWwtMDQ3NjE0NzAsCiAgVElUTEUgPSB7e0Z1c2VkLVBsYW5lczogSW1wcm92aW5nIFBsYW5hciBSZXByZXNlbnRhdGlvbnMgZm9yIExlYXJuaW5nIExhcmdlIFNldHMgb2YgM0QgU2NlbmVzfX0sCiAgQVVUSE9SID0ge0thc3NhYiwgS2FyaW0gYW5kIFNjaG5lcGYsIEFudG9pbmUgYW5kIEZyYW5jZXNjaGksIEplYW4tWXZlcyBhbmQgQ2FyYWZmYSwgTGF1cmVudCBhbmQgVmFzaWxlLCBGbGF2aWFuIGFuZCBNYXJ5LCBKZXJlbWllIGFuZCBDb21wb3J0LCBBbmRyZXcgSS4gYW5kIEdvdWV0LUJydW5ldCwgVmFse1wnZX1yaWV9LAogIFVSTCA9IHtodHRwczovL2hhbC5zY2llbmNlL2hhbC0wNDc2MTQ3MH0sCiAgTk9URSA9IHt3b3JraW5nIHBhcGVyIG9yIHByZXByaW50fSwKICBZRUFSID0gezIwMjV9LAogIE1PTlRIID0gSmFuLAogIFBERiA9IHtodHRwczovL2hhbC5zY2llbmNlL2hhbC0wNDc2MTQ3MHYyL2ZpbGUvRnVzZWRfUGxhbmVzX19fSW1wcm92aW5nX1BsYW5hcl9SZXByZXNlbnRhdGlvbnNfZm9yX0xlYXJuaW5nX0xhcmdlX1NldHNfb2ZfM0RfU2NlbmVzX19hcnhpdl8ucGRmfSwKICBIQUxfSUQgPSB7aGFsLTA0NzYxNDcwfSwKICBIQUxfVkVSU0lPTiA9IHt2Mn0sCn0K,,,,,,,,,,,,2025-01-31,"ACTE,STRUDEL","72,24,58",,
3,3DSES: an indoor Lidar point cloud segmentation dataset with real and pseudo-labels from a 3D model,hal-04905572,"[{""fullName"":""Maxime Mérizette"",""idHal"":""maxime-merizette""},{""fullName"":""Nicolas Audebert"",""idHal"":""nicolas-audebert""},{""fullName"":""Pierre Kervella"",""idHal"":""""},{""fullName"":""Jérôme Verdun"",""idHal"":""jerome-louis-marie-verdun""}]",COMM,2025,https://hal.science/hal-04905572/document,https://hal.science/hal-04905572/file/3DSES__an_indoor_Lidar_point_cloud_segmentation_dataset_with_real_and_pseudo_labels_from_a_3D_model.pdf,"<i>VISAPP</i>, Feb 2025, Porto, Portugal",QGlucHJvY2VlZGluZ3N7bWVyaXpldHRlOmhhbC0wNDkwNTU3MiwKICBUSVRMRSA9IHt7M0RTRVM6IGFuIGluZG9vciBMaWRhciBwb2ludCBjbG91ZCBzZWdtZW50YXRpb24gZGF0YXNldCB3aXRoIHJlYWwgYW5kIHBzZXVkby1sYWJlbHMgZnJvbSBhIDNEIG1vZGVsfX0sCiAgQVVUSE9SID0ge017XCdlfXJpemV0dGUsIE1heGltZSBhbmQgQXVkZWJlcnQsIE5pY29sYXMgYW5kIEtlcnZlbGxhLCBQaWVycmUgYW5kIFZlcmR1biwgSntcJ2V9cntcXm99bWV9LAogIFVSTCA9IHtodHRwczovL2hhbC5zY2llbmNlL2hhbC0wNDkwNTU3Mn0sCiAgQk9PS1RJVExFID0ge3tWSVNBUFB9fSwKICBBRERSRVNTID0ge1BvcnRvLCBQb3J0dWdhbH0sCiAgWUVBUiA9IHsyMDI1fSwKICBNT05USCA9IEZlYiwKICBLRVlXT1JEUyA9IHtEYXRhc2V0IDsgTElEQVIgOyBwb2ludCBjbG91ZCA7IHNlbWFudGljIHNlZ21lbnRhdGlvbiA7IDNEIG1vZGVsIDsgZGVlcCBsZWFybmluZ30sCiAgUERGID0ge2h0dHBzOi8vaGFsLnNjaWVuY2UvaGFsLTA0OTA1NTcydjEvZmlsZS8zRFNFU19fYW5faW5kb29yX0xpZGFyX3BvaW50X2Nsb3VkX3NlZ21lbnRhdGlvbl9kYXRhc2V0X3dpdGhfcmVhbF9hbmRfcHNldWRvX2xhYmVsc19mcm9tX2FfM0RfbW9kZWwucGRmfSwKICBIQUxfSUQgPSB7aGFsLTA0OTA1NTcyfSwKICBIQUxfVkVSU0lPTiA9IHt2MX0sCn0K,0,0,0,1,,2,,,,,,2025-02-26,STRUDEL,4,"Dataset,LIDAR,Point cloud,Semantic segmentation,3D model,Deep learning","data,point cloud,segmentation,city model,deep learning"
4,No Annotations for Object Detection in Art through Stable Diffusion,hal-04835391,"[{""fullName"":""Patrick Ramos"",""idHal"":""""},{""fullName"":""Nicolas Gonthier"",""idHal"":""""},{""fullName"":""Selina Khan"",""idHal"":""""},{""fullName"":""Yuta Nakashima"",""idHal"":""""},{""fullName"":""Noa Garcia"",""idHal"":""""}]",COMM,2025,https://hal.science/hal-04835391/document,https://hal.science/hal-04835391/file/2412.06286v1.pdf,"<i>Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)</i>, 2025, Tucson (Arizona ), United States",QGlucHJvY2VlZGluZ3N7cmFtb3M6aGFsLTA0ODM1MzkxLAogIFRJVExFID0ge3tObyBBbm5vdGF0aW9ucyBmb3IgT2JqZWN0IERldGVjdGlvbiBpbiBBcnQgdGhyb3VnaCBTdGFibGUgRGlmZnVzaW9ufX0sCiAgQVVUSE9SID0ge1JhbW9zLCBQYXRyaWNrIGFuZCBHb250aGllciwgTmljb2xhcyBhbmQgS2hhbiwgU2VsaW5hIGFuZCBOYWthc2hpbWEsIFl1dGEgYW5kIEdhcmNpYSwgTm9hfSwKICBVUkwgPSB7aHR0cHM6Ly9oYWwuc2NpZW5jZS9oYWwtMDQ4MzUzOTF9LAogIE5PVEUgPSB7OCBwYWdlcywgNiBmaWd1cmVzLCB0byBiZSBwdWJsaXNoZWQgaW4gV0FDViAyMDI1fSwKICBCT09LVElUTEUgPSB7e1Byb2NlZWRpbmdzIG9mIHRoZSBJRUVFL0NWRiBXaW50ZXIgQ29uZmVyZW5jZSBvbiBBcHBsaWNhdGlvbnMgb2YgQ29tcHV0ZXIgVmlzaW9uIChXQUNWKX19LAogIEFERFJFU1MgPSB7VHVjc29uIChBcml6b25hICksIFVuaXRlZCBTdGF0ZXN9LAogIFlFQVIgPSB7MjAyNX0sCiAgS0VZV09SRFMgPSB7QXJ0IEFuYWx5c2lzIDsgWmVyby1zaG90IDsgV2Vha2x5IFN1cGVydmlzZWQgTGVhcm5pbmcgOyBPYmplY3QgRGV0ZWN0aW9uIDsgU3RhYmxlIERpZmZ1c2lvbn0sCiAgUERGID0ge2h0dHBzOi8vaGFsLnNjaWVuY2UvaGFsLTA0ODM1MzkxdjEvZmlsZS8yNDEyLjA2Mjg2djEucGRmfSwKICBIQUxfSUQgPSB7aGFsLTA0ODM1MzkxfSwKICBIQUxfVkVSU0lPTiA9IHt2MX0sCn0K,1,0,0,1,,2,,,2412.06286,,,2024-12-09,STRUDEL,56,"Art Analysis,Zero-shot,Weakly Supervised Learning,Object Detection,Stable Diffusion","art analysis,zero-shot,weakly supervised learning,object detection,stable diffusion"
5,Bringing NeRFs to the Latent Space: Inverse Graphics Autoencoder,hal-04760484,"[{""fullName"":""Antoine Schnepf"",""idHal"":""antoine-schnepf""},{""fullName"":""Karim Kassab"",""idHal"":""""},{""fullName"":""Jean-Yves Franceschi"",""idHal"":""jean-yves-franceschi""},{""fullName"":""Laurent Caraffa"",""idHal"":""laurent-caraffa""},{""fullName"":""Flavian Vasile"",""idHal"":""""},{""fullName"":""Jeremie Mary"",""idHal"":""jeremie-mary""},{""fullName"":""Andrew I. Comport"",""idHal"":""andrew-comport""},{""fullName"":""Valérie Gouet-Brunet"",""idHal"":""valerie-gouet-brunet""}]",COMM,2025,https://hal.science/hal-04760484/document,https://hal.science/hal-04760484/file/Bringing%20NeRFs%20to%20the%20Latent%20Space%20%20-%20Inverse%20Graphics%20Autoencoder%20%28HAL%29%20%281%29.pdf,"<i>International Conference on Learning Representations</i>, Apr 2025, Singapore, Singapore",QGlucHJvY2VlZGluZ3N7c2NobmVwZjpoYWwtMDQ3NjA0ODQsCiAgVElUTEUgPSB7e0JyaW5naW5nIE5lUkZzIHRvIHRoZSBMYXRlbnQgU3BhY2U6IEludmVyc2UgR3JhcGhpY3MgQXV0b2VuY29kZXJ9fSwKICBBVVRIT1IgPSB7U2NobmVwZiwgQW50b2luZSBhbmQgS2Fzc2FiLCBLYXJpbSBhbmQgRnJhbmNlc2NoaSwgSmVhbi1ZdmVzIGFuZCBDYXJhZmZhLCBMYXVyZW50IGFuZCBWYXNpbGUsIEZsYXZpYW4gYW5kIE1hcnksIEplcmVtaWUgYW5kIENvbXBvcnQsIEFuZHJldyBJLiBhbmQgR291ZXQtQnJ1bmV0LCBWYWx7XCdlfXJpZX0sCiAgVVJMID0ge2h0dHBzOi8vaGFsLnNjaWVuY2UvaGFsLTA0NzYwNDg0fSwKICBCT09LVElUTEUgPSB7e0ludGVybmF0aW9uYWwgQ29uZmVyZW5jZSBvbiBMZWFybmluZyBSZXByZXNlbnRhdGlvbnN9fSwKICBBRERSRVNTID0ge1NpbmdhcG9yZSwgU2luZ2Fwb3JlfSwKICBZRUFSID0gezIwMjV9LAogIE1PTlRIID0gQXByLAogIFBERiA9IHtodHRwczovL2hhbC5zY2llbmNlL2hhbC0wNDc2MDQ4NHYyL2ZpbGUvQnJpbmdpbmclMjBOZVJGcyUyMHRvJTIwdGhlJTIwTGF0ZW50JTIwU3BhY2UlMjAlMjAtJTIwSW52ZXJzZSUyMEdyYXBoaWNzJTIwQXV0b2VuY29kZXIlMjAlMjhIQUwlMjklMjAlMjgxJTI5LnBkZn0sCiAgSEFMX0lEID0ge2hhbC0wNDc2MDQ4NH0sCiAgSEFMX1ZFUlNJT04gPSB7djJ9LAp9Cg==,1,0,0,1,,2,,,,,,2025-04-24,"ACTE,STRUDEL","72,24,58",,
6,Retrieval of benthic habitat abundance and bathymetry from hyperspectral data (DESIS) in shallow waters,hal-04924211,"[{""fullName"":""Audrey Minghelli"",""idHal"":""""},{""fullName"":""Malik Chami"",""idHal"":""chami""},{""fullName"":""Mireille Guillaume"",""idHal"":""""},{""fullName"":""Manchun Lei"",""idHal"":""manchun-lei""},{""fullName"":""Claire Dune"",""idHal"":""claire-dune""}]",ART,2025,,,"<i>International Journal of Remote Sensing</i>, 2025, 46 (4), pp.1467-1486. <a target=""_blank"" href=""https://dx.doi.org/10.1080/01431161.2025.2455009"">&#x27E8;10.1080/01431161.2025.2455009&#x27E9;</a>",QGFydGljbGV7bWluZ2hlbGxpOmhhbC0wNDkyNDIxMSwKICBUSVRMRSA9IHt7UmV0cmlldmFsIG9mIGJlbnRoaWMgaGFiaXRhdCBhYnVuZGFuY2UgYW5kIGJhdGh5bWV0cnkgZnJvbSBoeXBlcnNwZWN0cmFsIGRhdGEgKERFU0lTKSBpbiBzaGFsbG93IHdhdGVyc319LAogIEFVVEhPUiA9IHtNaW5naGVsbGksIEF1ZHJleSBhbmQgQ2hhbWksIE1hbGlrIGFuZCBHdWlsbGF1bWUsIE1pcmVpbGxlIGFuZCBMZWksIE1hbmNodW4gYW5kIER1bmUsIENsYWlyZX0sCiAgVVJMID0ge2h0dHBzOi8vaGFsLnNjaWVuY2UvaGFsLTA0OTI0MjExfSwKICBKT1VSTkFMID0ge3tJbnRlcm5hdGlvbmFsIEpvdXJuYWwgb2YgUmVtb3RlIFNlbnNpbmd9fSwKICBQVUJMSVNIRVIgPSB7e1RheWxvciBcJiBGcmFuY2lzfX0sCiAgVk9MVU1FID0gezQ2fSwKICBOVU1CRVIgPSB7NH0sCiAgUEFHRVMgPSB7MTQ2Ny0xNDg2fSwKICBZRUFSID0gezIwMjV9LAogIE1PTlRIID0gSmFuLAogIERPSSA9IHsxMC4xMDgwLzAxNDMxMTYxLjIwMjUuMjQ1NTAwOX0sCiAgS0VZV09SRFMgPSB7UmVtb3RlIHNlbnNpbmc7IGh5cGVyc3BlY3RyYWw7IGJlbnRoaWMgaGFiaXRhdHM7IGJhdGh5bWV0cnk7IERFU0lTfSwKICBIQUxfSUQgPSB7aGFsLTA0OTI0MjExfSwKICBIQUxfVkVSU0lPTiA9IHt2MX0sCn0K,,0,,1,,2,10.1080/01431161.2025.2455009,,,,,2025-01-31,ACTE,79,Remote sensing hyperspectral benthic habitats bathymetry DESIS,remote sensing hyperspectral benthic habitats bathymetry desis
7,Understanding the Carbon Footprint of Tile Transfer for Web Maps,hal-04975510,"[{""fullName"":""Guillaume Touya"",""idHal"":""guillaume-touya""},{""fullName"":""Azelle Courtial"",""idHal"":""azelle-courtial""},{""fullName"":""Jérémy Kalsron"",""idHal"":""jeremykalsron""},{""fullName"":""Justin Berli"",""idHal"":""""},{""fullName"":""Bérénice Le Mao"",""idHal"":""berenice-lm""},{""fullName"":""Laura Wenclik"",""idHal"":""laura-wenclik""}]",ART,2025,https://hal.science/hal-04975510/document,https://hal.science/hal-04975510/file/ijgi-14-00107-v2.pdf,"<i>ISPRS International Journal of Geo-Information</i>, 2025, 14 (3), pp.107. <a target=""_blank"" href=""https://dx.doi.org/10.3390/ijgi14030107"">&#x27E8;10.3390/ijgi14030107&#x27E9;</a>",QGFydGljbGV7dG91eWE6aGFsLTA0OTc1NTEwLAogIFRJVExFID0ge3tVbmRlcnN0YW5kaW5nIHRoZSBDYXJib24gRm9vdHByaW50IG9mIFRpbGUgVHJhbnNmZXIgZm9yIFdlYiBNYXBzfX0sCiAgQVVUSE9SID0ge1RvdXlhLCBHdWlsbGF1bWUgYW5kIENvdXJ0aWFsLCBBemVsbGUgYW5kIEthbHNyb24sIEp7XCdlfXJ7XCdlfW15IGFuZCBCZXJsaSwgSnVzdGluIGFuZCBMZSBNYW8sIEJ7XCdlfXJ7XCdlfW5pY2UgTGUgYW5kIFdlbmNsaWssIExhdXJhfSwKICBVUkwgPSB7aHR0cHM6Ly9oYWwuc2NpZW5jZS9oYWwtMDQ5NzU1MTB9LAogIEpPVVJOQUwgPSB7e0lTUFJTIEludGVybmF0aW9uYWwgSm91cm5hbCBvZiBHZW8tSW5mb3JtYXRpb259fSwKICBQVUJMSVNIRVIgPSB7e01EUEl9fSwKICBWT0xVTUUgPSB7MTR9LAogIE5VTUJFUiA9IHszfSwKICBQQUdFUyA9IHsxMDd9LAogIFlFQVIgPSB7MjAyNX0sCiAgTU9OVEggPSBNYXIsCiAgRE9JID0gezEwLjMzOTAvaWpnaTE0MDMwMTA3fSwKICBLRVlXT1JEUyA9IHtncmVlbiBjYXJ0b2dyYXBoeSA7IGdyZWVuIGNvbXB1dGluZyA7IHdlYiBtYXBwaW5nIDsgdGlsaW5nIDsgbWFwIGdlbmVyYWxpemF0aW9ufSwKICBQREYgPSB7aHR0cHM6Ly9oYWwuc2NpZW5jZS9oYWwtMDQ5NzU1MTB2MS9maWxlL2lqZ2ktMTQtMDAxMDctdjIucGRmfSwKICBIQUxfSUQgPSB7aGFsLTA0OTc1NTEwfSwKICBIQUxfVkVSU0lPTiA9IHt2MX0sCn0K,,0,,1,,2,10.3390/ijgi14030107,,,,"[""LostInZoom""]",2025-03-01,"MEIG,GEOVIS","128,34,10,81,138","Green cartography,Green computing,Web mapping,Tiling,Map generalization","green cartography,green computing,web mapping,tiling,generalization"
8,"Vallée de l’Eure : une rivière, des territoires. Projet collectif de recherche. Rapport intermédiaire 2024",halshs-04873591,"[{""fullName"":""Fabienne Dugast"",""idHal"":""fabienne-dugast""},{""fullName"":""Caroline Font"",""idHal"":""""},{""fullName"":""Gael Léon"",""idHal"":""""},{""fullName"":""Théophile Piau"",""idHal"":""theophile-piau""},{""fullName"":""Émilie Vautier Vautier"",""idHal"":""""},{""fullName"":""Vincent Viel"",""idHal"":""""}]",REPORT,2025,https://shs.hal.science/halshs-04873591/document,https://shs.hal.science/halshs-04873591/file/Rapport_PCRValEuRT_2024_HAL.pdf,SRA Normandie. 2025,QHRlY2hyZXBvcnR7ZHVnYXN0OmhhbHNocy0wNDg3MzU5MSwKICBUSVRMRSA9IHt7VmFsbHtcJ2V9ZSBkZSBsJ0V1cmUgOiB1bmUgcml2aXtcYGV9cmUsIGRlcyB0ZXJyaXRvaXJlcy4gUHJvamV0IGNvbGxlY3RpZiBkZSByZWNoZXJjaGUuIFJhcHBvcnQgaW50ZXJte1wnZX1kaWFpcmUgMjAyNH19LAogIEFVVEhPUiA9IHtEdWdhc3QsIEZhYmllbm5lIGFuZCBGb250LCBDYXJvbGluZSBhbmQgTHtcJ2V9b24sIEdhZWwgYW5kIFBpYXUsIFRoe1wnZX1vcGhpbGUgYW5kIFZhdXRpZXIsIHtcJ0V9bWlsaWUgVmF1dGllciBhbmQgVmllbCwgVmluY2VudH0sCiAgVVJMID0ge2h0dHBzOi8vc2hzLmhhbC5zY2llbmNlL2hhbHNocy0wNDg3MzU5MX0sCiAgSU5TVElUVVRJT04gPSB7e1NSQSBOb3JtYW5kaWV9fSwKICBZRUFSID0gezIwMjV9LAogIE1PTlRIID0gSmFuLAogIEtFWVdPUkRTID0ge0V1cmUgVmFsbGV5IDsgQXJjaGFlb2xvZ3kgOyBHZW9tb3JwaG9sb2d5IDsgVmFsbHtcJ2V9ZSBkZSBsJ0V1cmUgOyBBcmNoe1wnZX1vbG9naWUgOyBHe1wnZX1vbW9ycGhvbG9naWV9LAogIFBERiA9IHtodHRwczovL3Nocy5oYWwuc2NpZW5jZS9oYWxzaHMtMDQ4NzM1OTF2MS9maWxlL1JhcHBvcnRfUENSVmFsRXVSVF8yMDI0X0hBTC5wZGZ9LAogIEhBTF9JRCA9IHtoYWxzaHMtMDQ4NzM1OTF9LAogIEhBTF9WRVJTSU9OID0ge3YxfSwKfQo=,,,,,,,,,,,,2025-01-06,STRUDEL,134,"Eure Valley,Archaeology,Geomorphology,Vallée de l'Eure,Archéologie,Géomorphologie","eure valley,archaeology,geomorphology,vallée de l'eure,archéologie,géomorphologie"
9,"Suivi de l'état hydrique de l'olivier par télédétection radar en bande C en zone semi-aride,Monitoring the water status of olive trees by C-band radar remote sensing in semi-arid zones",tel-04952404,"[{""fullName"":""Adnane Chakir"",""idHal"":""""}]",THESE,2024,https://theses.hal.science/tel-04952404/document,https://theses.hal.science/tel-04952404/file/TH2024UEFL2028.pdf,"Amélioration des plantes. Université Gustave Eiffel; Université Cadi Ayyad (Marrakech, Maroc), 2024. Français. <a target=""_blank"" href=""https://www.theses.fr/2024UEFL2028"">&#x27E8;NNT : 2024UEFL2028&#x27E9;</a>",QHBoZHRoZXNpc3tjaGFraXI6dGVsLTA0OTUyNDA0LAogIFRJVExFID0ge3tTdWl2aSBkZSBsJ3tcJ2V9dGF0IGh5ZHJpcXVlIGRlIGwnb2xpdmllciBwYXIgdHtcJ2V9bHtcJ2V9ZHtcJ2V9dGVjdGlvbiByYWRhciBlbiBiYW5kZSBDIGVuIHpvbmUgc2VtaS1hcmlkZX19LAogIEFVVEhPUiA9IHtDaGFraXIsIEFkbmFuZX0sCiAgVVJMID0ge2h0dHBzOi8vdGhlc2VzLmhhbC5zY2llbmNlL3RlbC0wNDk1MjQwNH0sCiAgTlVNQkVSID0gezIwMjRVRUZMMjAyOH0sCiAgU0NIT09MID0ge3tVbml2ZXJzaXR7XCdlfSBHdXN0YXZlIEVpZmZlbCA7IFVuaXZlcnNpdHtcJ2V9IENhZGkgQXl5YWQgKE1hcnJha2VjaCwgTWFyb2MpfX0sCiAgWUVBUiA9IHsyMDI0fSwKICBNT05USCA9IFNlcCwKICBLRVlXT1JEUyA9IHtSZW1vdGUgc2Vuc2luZyA7IFJhZGFyIHNlbnNvcnMgOyBDIGJhbmQgOyBUcmVlIGNyb3BzIE1vbml0b3JpbmcgOyBUe1wnZX1se1wnZX1ke1wnZX10ZWN0aW9uIDsgQmFuZCBDIDsgU3VpdmkgY3VsdHVyZXMgYXJiaXJ7XCdlfWVzIDsgQ2FwdGV1cnMgcmFkYXJ9LAogIFRZUEUgPSB7VGhlc2VzfSwKICBQREYgPSB7aHR0cHM6Ly90aGVzZXMuaGFsLnNjaWVuY2UvdGVsLTA0OTUyNDA0djEvZmlsZS9USDIwMjRVRUZMMjAyOC5wZGZ9LAogIEhBTF9JRCA9IHt0ZWwtMDQ5NTI0MDR9LAogIEhBTF9WRVJTSU9OID0ge3YxfSwKfQo=,,,,,,,,,,,,2024-09-27,ACTE,26,"Remote sensing,Radar sensors,C band,Tree crops Monitoring,Télédétection,Band C,Suivi cultures arbirées,Capteurs radar","remote sensing,radar sensors,c band,tree crops monitoring,band c,suivi cultures arbirées,capteurs radar"
