keyword,acte,meig,geovis,strudel,total
stereo matching,1,0,0,0,1
brdf,1,0,0,0,1
neural radiance fields,1,0,0,0,1
bundle adjustment,1,0,0,0,1
geohistory,1,0,0,4,5
camera pose estimation,1,0,0,0,1
vision,2,0,0,2,4
photogrammetry,2,0,0,1,3
user feedback,0,1,1,0,2
integration,0,3,1,2,6
visualisation,0,1,2,0,3
digital twin,0,1,1,0,2
graph mapping,0,1,0,0,1
language,0,3,1,1,5
knowledge,0,1,0,5,6
sdg,0,1,0,0,1
3d retrieval scalable retrieval 3d point cloud descriptors differentiable search index lidar-based place recognition,1,0,0,1,2
lidar-based place recognition,2,0,0,2,4
differentiable search index,1,0,0,1,2
3d point cloud descriptors,2,0,0,2,4
scalable retrieval,2,0,0,2,4
3d retrieval,2,0,0,2,4
urban project,0,0,3,0,3
ecosystem services,0,0,2,0,2
green space,0,0,1,0,1
life cycle assesment,0,0,1,0,1
services écosystémiques,0,0,1,0,1
espaces verts,0,0,1,0,1
analyse de cycle de vie,0,0,2,0,2
semantic table interpretation,0,0,0,1,1
knowledge graphs,0,0,0,2,2
image,1,0,0,7,8
interprétation sémantique de tables,0,0,0,2,2
htr,0,0,0,2,2
named entities,0,0,0,2,2
indice de végétation,0,0,0,1,1
remote sensing,2,0,0,6,8
modèle génératif,0,0,0,1,1
inter capteurs,0,0,0,1,1
super résolution,0,0,0,1,1
text linking,0,0,0,1,1
ocr,0,0,0,1,1
hierarchical text detection,0,0,0,1,1
computing methodologies → model verification and validation,1,0,1,0,2
ccs concepts,1,0,1,0,2
rational computation,1,0,1,0,2
exact computation,1,0,1,0,2
buildings,1,0,1,0,2
mathematics 3d reconstruction,1,0,1,0,2
ccs concepts computing methodologies → model verification and validation,1,0,1,0,2
cross-country analysis,0,1,1,0,2
lod,0,1,1,0,2
machine learning,2,2,1,2,7
river network,0,1,1,0,2
generalization,0,5,2,0,7
gps / gnss,1,2,0,0,3
mobility,0,1,0,1,2
information retrieval,0,0,0,1,1
chunking,0,0,0,1,1
artificial intelligence,0,0,0,1,1
property directory,0,0,0,1,1
optical character recognition,0,0,0,1,1
segmentation,0,0,0,4,4
directional spatial relationships,0,0,0,1,1
heritage collections,0,0,0,1,1
historical documents vision par ordinateur,0,0,0,1,1
rag semantic table interpretation,0,0,0,1,1
contextual ontology,0,0,0,1,1
semantic indexing,0,0,0,1,1
historical knowledge graph,0,0,0,1,1
historical urban gazetteer -knowledge graph -geographical entities evolution documents historiques,0,0,0,1,1
historical urban gazetteer -knowledge graph -geographical entities evolution documents historiques entités nommées graphe de connaissance historique indexation sémantique ontologie contextuelle rag historical documents named entities historical knowledge graph semantic indexing contextual ontology rag semantic table interpretation knowledge graphs information extraction htr ner historical documents vision par ordinateur collections patrimoniales musée coopération humain-machine computer vision heritage collections museum humanmachine cooperation ontology management conversational system formal concept analysis cultural heritage collection artificial intelligence digital humanities segmentation directional spatial relationships byzantine seals digital humanities image segmentation optical character recognition named entity recognition property directory artificial intelligence metrics digital humanities llm rag chunking information retrieval historical documents,0,0,0,1,1
human-machine cooperation ontology management,0,0,0,1,1
byzantine seals digital humanities,0,0,0,1,1
conversational system,0,0,0,1,1
formal concept analysis,0,0,0,1,1
cultural heritage collection artificial intelligence,0,0,0,1,1
digital humanities,1,0,0,3,4
rag historical documents,0,0,0,1,1
ontologie contextuelle,0,0,0,1,1
indexation sémantique,0,0,0,1,1
graphe de connaissance historique,0,0,0,1,1
rag,0,0,0,1,1
metrics digital humanities,0,0,0,1,1
museum,0,0,0,1,1
coopération humain-machine computer vision,0,0,0,1,1
collections patrimoniales,0,0,0,1,1
point cloud,0,2,0,3,5
change detection,0,1,0,2,3
fuzzy logic,0,2,0,2,4
m3c2,0,2,0,2,4
semantics,0,3,0,3,6
gis,1,1,3,1,6
life cycle assessment,0,0,1,0,1
building simulation,0,0,1,0,1
energy needs,0,0,1,0,1
shading masks,0,0,1,0,1
urban projects,0,0,2,0,2
besoins énergétiques,0,0,1,0,1
masques solaires,0,0,1,0,1
géodonnées,0,0,2,0,2
simulation thermique dynamique,0,0,1,0,1
open science,0,2,0,0,2
computer vision and pattern recognition cscv,0,0,0,1,1
fos computer and information sciences,0,0,0,2,2
deep learning,2,0,0,5,7
generative ai,0,0,0,1,1
flow matching,0,0,0,1,1
sar interferometry insar,0,0,0,1,1
musicxml,0,0,0,1,1
quality,0,0,0,1,1
digital music score,0,0,0,1,1
multimedia csmm,0,0,0,1,1
city model,1,0,0,1,2
data,0,0,0,2,2
observatoires milieux-société,0,1,0,0,1
temps,0,1,0,0,1
espace,0,1,0,0,1
contexte,0,1,0,0,1
décision territoriale,0,1,0,0,1
localization,1,0,0,1,2
composed image retrieval,1,0,0,1,2
dimensionality reduction,0,1,0,0,1
