"Funding Origin","Contract Name","Short Name","Contract Type","Project Team Leader","Project Leader","Teams","Dates","Theme","Website"
"European","Volta","Volta","H2020","Bruno Vallet","N","ACTE, MEIG, GEOVIS, STRUDEL","2017-2021","Urban","https://volta.fbk.eu/"
"European","LANDSENSE","LANDSENSE","H2020","Ana-Maria Raimond","N","MEIG, STRUDEL","2016-2020","Climate","https://landsense.eu/"
"European","URCLIM","URCLIM","ERA4CS","Bénédicte Bucher","N","MEIG, GEOVIS, STRUDEL","2017-2020","Climate","https://jpi-climate.eu/project/urclim/"
"European","VSCT","VSCT","Horizon Europe","Valerie Gouet-Brunet","N","ACTE, MEIG","2020-2021","Tourism","https://ec.europa.eu/regional_policy/policy/communities-and-networks/s3-community-of-practice/virtual_tourism_en"
"European","Time Machine","Time Machine","H2020","Valerie Gouet-Brunet","N","ACTE, MEIG","2019-2020","Digital Humanities","https://www.timemachine.eu/"
"European","THINGS2DO","THINGS2DO","ENIAC","Valerie Gouet-Brunet","N","ACTE","2014-2018","Security","https://cordis.europa.eu/project/id/621221"
"National","MAESTRIA","MAESTRIA","ANR","Clément Mallet","Y","STRUDEL","2019-2023","LULC","https://maestriaproject.github.io/"
"National","Reconstitution de la généalogie des bâtiments et des parcelles à partir de cadastres anciens","Cadastre","AID","Nathalie Abadie","Y","STRUDEL","2022-2025","Digital Humanities",
"National","READY3D","READY3D","ANR","Loic Landrieu","Y","STRUDEL","2020-2024","Security","https://anr.fr/Projet-ANR-19-CE23-0007"
"National","SoDUCo","SoDUCo","ANR","Julien Perret","Y","STRUDEL","2019-2023","Digital Humanities","https://soduco.geohistoricaldata.org"
"National","ALEGORIA","ALEGORIA","ANR","Valerie Gouet-Brunet","Y","ACTE, STRUDEL, GEOVIS","2018-2021","Digital Humanities","http://alegoria.ign.fr/"
"National","BIOM","BIOM","ANR","Bruno Vallet","Y","ACTE","2018-2022","Urban","https://www.umr-lastig.fr/biom/"
"National","pLaTINUM","pLaTINUM","ANR","Valerie Gouet-Brunet","N","ACTE","2015-2019","Security","https://team.inria.fr/rainbow/fr/research/research-project/platinum/"
"National","Reconnnaissance de lieux à partir de points 3D","Reconnnaissance","AID","Valerie Gouet-Brunet","Y","ACTE","2023-2025","Security",
"National","Description, appariement et indexation de contenus image multi-date et multi-source","Description","AID","Valerie Gouet-Brunet","Y","ACTE","2018-2021","Security",
"National","ORACLES","ORACLES","ANR","Sidonie Christophe","N","GEOVIS","2022-2025","Climate","https://oracles.brgm.fr/fr"
"National","SUBDENSE","SUBDENSE","ANR","Bénédicte Bucher","Y","MEIG, STRUDEL","2023-2025","Urban","https://anr.fr/Project-ANR-22-ORAR-0004"
"National","DISRUPT","DISRUPT","ANR","Marc Pierrot Deseilligny","N","ACTE","2019-2022","Security","https://anr.fr/Projet-ANR-18-CE31-0012"
"National","Topographie en science de la terre","Topographie","TOSCA","Marc Pierrot Deseilligny","N","ACTE","2012-2024","Security",
"National","AIRDESCARTES","AIRDESCARTES","iSite","Mohamed Chachoua","Y","MEIG","2020-2024","Health","https://www.eivp-paris.fr/air-descartes"
"National","POLLUSCOPE","POLLUSCOPE","ANR","Mohamed Chachoua","N","MEIG","2016-2022","Health","https://www.eivp-paris.fr/polluscope"
"National","ECOCIM","ECOCIM","ANR","Jacquinod Florence","N","GEOVIS","2023-2026","Urban","https://anr.fr/Projet-ANR-22-CE04-0019"
"National","HIATUS","HIATUS","ANR","Arnaud Le Bris","Y","STRUDEL, ACTE, GEOVIS","2019-2024","LULC","https://anr-hiatus.github.io/"
"National","OSO","OSO","TOSCA","Arnaud Le Bris","N","STRUDEL","2018-2019","LULC",
"National","CES Artificialisation/urbanisation","CES","TOSCA","Arnaud Le Bris","N","STRUDEL","2018-2019","LULC",
"National","PARCELLE","PARCELLE","TOSCA","Arnaud Le Bris","N","STRUDEL","2019-2023","LULC",
"National","AIMCEE","AIMCEE","TOSCA","Arnaud Le Bris","N","STRUDEL","2020-2022","LULC",
"National","CHOUCAS","CHOUCAS","ANR","Ana-Maria Raimond","Y","ACTE","2017-2022","Security","https://choucas.ign.fr/"
"National","ACTIVmap","ACTIVmap","ANR","Guillaume Touya","N","MEIG","2019-2024","Tourism","https://activmap.limos.fr"
"National","GENESE","GENESE","Convention de soutien de l'Etat à des actions de recherche et d'innovation","Bruno Vallet","Y","ACTE","2023-2026","Tourism",
"National","Glob-Taiwan ","Glob-Taiwan ","TOSCA","Bénédicte Fruneau","Y","ACTE","2016-2019","Security",
"National","IntForOut*","IntForOut*","ANR","Ana-Maria RAIMOND","Y","MEIG","2023-2027","Tourism","https://anr.fr/Project-ANR-23-CE55-0003"
"National","Active-SW","Active-SW","ANR","Bénédicte Fruneau","N","ACTE","2023-2026","Security","https://anr.fr/Projet-ANR-21-CE49-0021"
